Cavity,Gradient,Q0,Calibration,Q0 Measurement,Calibration Cutoffs,Q0 Cutoffs
1,14.9,3.47e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 14:57:33 to 2019-07-12 16:29:12 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 9 | 10 | 9 | 10 | 9,176 | 162
1,14.9,3.47e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 14:57:33 to 2019-07-12 16:29:12 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 9 | 10 | 9 | 10 | 9,176 | 162
1,14.9,3.47e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 14:57:33 to 2019-07-12 16:29:12 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 9 | 10 | 9 | 10 | 9,176 | 162
1,14.9,3.47e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 14:57:33 to 2019-07-12 16:29:12 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 9 | 10 | 9 | 10 | 9,176 | 162
1,14.9,3.47e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 14:57:33 to 2019-07-12 16:29:12 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 9 | 10 | 9 | 10 | 9,176 | 162
1,14.9,3.47e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 14:57:33 to 2019-07-12 16:29:12 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 9 | 10 | 9 | 10 | 9,176 | 162
1,14.9,3.47e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 14:57:33 to 2019-07-12 16:29:12 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 9 | 10 | 9 | 10 | 9,176 | 162
1,14.9,3.47e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 14:57:33 to 2019-07-12 16:29:12 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 9 | 10 | 9 | 10 | 9,176 | 162
1,14.9,3.47e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 14:57:33 to 2019-07-12 16:29:12 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 9 | 10 | 9 | 10 | 9,176 | 162
1,14.9,3.47e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 14:57:33 to 2019-07-12 16:29:12 (1s sample interval),170 | 10 | 10 | 9 | 10 | 10 | 9 | 10 | 9 | 10 | 9,176 | 162
1,14.9,1.42e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-12 14:57:33 to 2019-07-12 16:29:12 (1s sample interval),0,0
1,13.0,2.03e+10,2019-07-15 09:40:00 to 2019-07-15 14:55:00 (1s sample interval),2019-07-17 22:14:49 to 2019-07-17 23:07:55 (1s sample interval),0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,0 | 0
